,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,price_Z,price_MM,price_Log
0,20140502T000000,313000,3,1.5,1340,7912,1.5,0,0.0,3.0,1340,0,1955,,18810 Densmore Ave N,Shoreline,WA 98133,USA,-0.6518335130712646,0.03364593027417854,12.65395846952229
1,20140502T000000,2384000,5,2.5,3650,9050,2.0,0,4.0,5.0,3370,280,1921,,709 W Blaine St,Seattle,WA 98119,USA,4.870117972023177,0.3301596392010881,14.684290307167377
2,20140502T000000,342000,3,2.0,1930,11947,1.0,0,0.0,4.0,1930,0,1966,,26206-26214 143rd Ave SE,Kent,WA 98042,USA,-0.5745101943519315,0.03779798124418355,12.742566016044742
3,20140502T000000,420000,3,2.25,2000,8030,1.0,0,0.0,4.0,1000,1000,1963,,857 170th Pl NE,Bellevue,WA 98008,USA,-0.36653713021027695,0.04896556661178323,12.948009990259552
4,20140502T000000,550000,4,2.5,1940,10500,1.0,0,0.0,4.0,1140,800,1976,,9105 170th Ave NE,Redmond,WA 98052,USA,-0.019915356640852803,0.06757820889111604,13.217673557208654
5,20140502T000000,490000,2,1.0,880,6380,1.0,0,0.0,3.0,880,0,1938,1994.0,522 NE 88th St,Seattle,WA 98115,USA,-0.17989463674981782,0.05898775860834705,13.102160670086809
6,20140502T000000,335000,2,2.0,1350,2560,1.0,0,0.0,3.0,1350,0,1976,,2616 174th Ave NE,Redmond,WA 98052,USA,-0.5931744436979774,0.03679576204452716,12.721885810807203
7,20140502T000000,482000,4,2.5,2710,35868,2.0,0,0.0,3.0,2710,0,1989,,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,-0.20122520743101313,0.057842365237311184,13.085699393032737
8,20140502T000000,452500,3,2.5,2430,88426,1.0,0,0.0,4.0,1570,860,1985,,46611-46625 SE 129th St,North Bend,WA 98045,USA,-0.2798816868179209,0.05361872718161643,13.022543042122118
9,20140502T000000,640000,4,2.0,1520,6200,1.5,0,0.0,3.0,1520,0,1945,,6811 55th Ave NE,Seattle,WA 98115,USA,0.2200535635225947,0.08046388431526953,13.369223455335854
