date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
20140502T000000,313k,3,1.5,1340,7912,1.5,0,0,3,1340,0,1955,,18810 Densmore Ave N,Shoreline,WA 98133,USA
20140502T000000,2.384m,5,2.5,3650,9050,2,0,4,5,3370,280,1921,,709 W Blaine St,Seattle,WA 98119,USA
20140502T000000,342k,3,2,1930,11947,1,0,0,4,1930,0,1966,,26206-26214 143rd Ave SE,Kent,WA 98042,USA
20140502T000000,420k,3,2.25,2000,8030,1,0,0,4,1000,1000,1963,,857 170th Pl NE,Bellevue,WA 98008,USA
20140502T000000,550k,4,2.5,1940,10500,1,0,0,4,1140,800,1976,,9105 170th Ave NE,Redmond,WA 98052,USA
20140502T000000,490k,2,1,880,6380,1,0,0,3,880,0,1938,1994,522 NE 88th St,Seattle,WA 98115,USA
20140502T000000,335k,2,2,1350,2560,1,0,0,3,1350,0,1976,,2616 174th Ave NE,Redmond,WA 98052,USA
20140502T000000,482k,4,2.5,2710,35868,2,0,0,3,2710,0,1989,,23762 SE 253rd Pl,Maple Valley,WA 98038,USA
20140502T000000,452.5k,3,2.5,2430,88426,1,0,0,4,1570,860,1985,,46611-46625 SE 129th St,North Bend,WA 98045,USA
20140502T000000,640k,4,2,1520,6200,1.5,0,0,3,1520,0,1945,,6811 55th Ave NE,Seattle,WA 98115,USA
20140502T000000,463k,3,1.75,1710,7320,1,0,0,3,1710,0,1948,,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA
20140502T000000,1.4m,4,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,,3838-4098 44th Ave NE,Seattle,WA 98105,USA
20140502T000000,588.5k,3,1.75,2330,14892,1,0,0,3,1970,360,1980,,1833 220th Pl NE,Sammamish,WA 98074,USA
20140502T000000,365k,3,1,1090,6435,1,0,0,4,1090,0,1955,,2504 SW Portland Ct,Seattle,WA 98106,USA
20140502T000000,1.2m,5,2.75,2910,9480,1.5,0,0,3,2910,0,1939,,3534 46th Ave NE,Seattle,WA 98105,USA
20140502T000000,242.5k,3,1.5,1200,9720,1,0,0,4,1200,0,1965,,14034 SE 201st St,Kent,WA 98042,USA
20140502T000000,419k,3,1.5,1570,6700,1,0,0,4,1570,0,1956,,15424 SE 9th St,Bellevue,WA 98007,USA
20140502T000000,285k,4,2.5,2200,9397,2,0,0,3,2200,0,1987,,5214 S 292nd St,Auburn,WA 98001,USA
20140502T000000,367.5k,4,3,3110,7231,2,0,0,3,3110,0,1997,,11224 SE 306th Pl,Auburn,WA 98092,USA
20140502T000000,257.95k,3,1.75,1370,5858,1,0,0,3,1370,0,1987,,1605 S 245th Pl,Des Moines,WA 98198,USA
20140502T000000,275k,3,1.5,1180,10277,1,0,0,3,1180,0,1983,,12425 415th Ave SE,North Bend,WA 98045,USA
20140502T000000,750k,3,1.75,2240,10578,2,0,0,5,1550,690,1923,,3225 NE 92nd St,Seattle,WA 98115,USA
20140502T000000,435k,4,1,1450,8800,1,0,0,4,1450,0,1954,,3922 154th Ave SE,Bellevue,WA 98006,USA
20140502T000000,626k,3,2.25,1750,1572,2.5,0,0,3,1470,280,2005,,3140 Franklin Ave E,Seattle,WA 98102,USA
20140502T000000,612.5k,4,2.5,2730,12261,2,0,0,3,2730,0,1991,,10212 NE 156th Pl,Bothell,WA 98011,USA
20140502T000000,495k,4,1.75,1600,6380,1,0,0,3,1130,470,1959,,2021 NE 100th St,Seattle,WA 98125,USA
20140502T000000,285k,3,2.5,2090,10834,1,0,0,4,1360,730,1987,,27736 23rd Avenue South,Federal Way,WA 98003,USA
20140502T000000,615k,3,1.75,2360,7291,1,0,0,4,1360,1000,1948,,8436-8438 41st Ave SW,Seattle,WA 98136,USA
20140502T000000,698k,4,2.25,2200,11250,1.5,0,0,5,1300,900,1920,,1036 4th St,Kirkland,WA 98033,USA
20140502T000000,675k,5,2.5,2820,67518,2,0,0,3,2820,0,1979,,23525 SE 32nd Way,Issaquah,WA 98029,USA
20140502T000000,790k,3,2.5,2600,4750,1,0,0,4,1700,900,1951,,3314 NW 75th St,Seattle,WA 98117,USA
20140502T000000,382.5k,4,1.75,1560,8700,1,0,0,4,1560,0,1967,,14104 119th Ave NE,Kirkland,WA 98034,USA
20140502T000000,499.95k,4,2.5,2860,3345,2,0,0,3,2190,670,2004,,20120 137th Ave NE,Woodinville,WA 98072,USA
20140502T000000,650k,4,2,1820,5000,1.5,0,1,3,1640,180,1945,,7201-7399 55th Ave NE,Seattle,WA 98115,USA
20140502T000000,440k,4,2.25,2160,8119,1,0,0,3,1080,1080,1966,,12211 SE 65th St,Bellevue,WA 98006,USA
20140502T000000,625k,4,2.5,2820,8408,2,0,0,3,2820,0,2014,,17052 4th Ave NE,Shoreline,WA 98155,USA
20140502T000000,400k,4,2.5,3630,42884,1.5,0,0,3,2300,1330,1979,,5172-5198 Heather Ave SE,Auburn,WA 98092,USA
20140502T000000,604k,3,2.5,3240,33151,2,0,2,3,3240,0,1995,,30822 36th Ct SW,Federal Way,WA 98023,USA
20140502T000000,440k,2,1,800,4850,1,0,0,4,800,0,1944,,4801-4899 6th Ave NW,Seattle,WA 98107,USA
20140502T000000,287.2k,3,3,1850,19966,1,0,0,4,1090,760,1992,,23017 SE 281st Ct,Maple Valley,WA 98038,USA
